what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1477981158786
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1477981158845
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1477981159410
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477981160753
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477981162886
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1477981189637
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1477981189652
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20110728_r371,"org.eclipse.pde.api.tools",1477981189685
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1477981189686
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1477981196036
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477981369421
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477981369476
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1477981678720
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1477981682309
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1477981682348
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1477981766470
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1477981768446
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477981772812
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477981853726
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1477981855226
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477981882036
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477981896833
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1477981966780
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1477981968819
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1477981971875
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1477981973548
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1477981974853
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1477981976566
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1477981977972
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1477981980327
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477982032419
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477982291119
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477982313908
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477982319334
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477982321788
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477984314069
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477984321861
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477987386543
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477987389134
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477987389714
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477987795849
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477987795957
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477987796655
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477987799282
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477987800976
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477987804272
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477987998307
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1477987998351
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477988006211
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1477988006768
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477988035414
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477988035476
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477988086063
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477988086791
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477988086827
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477988106560
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1477988155847
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1477988155889
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1477988158047
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1477988158356
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477988158731
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1477988158758
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1477988158969
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1477988170097
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1477988173791
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1477988173793
started,bundle,org.eclipse.wb.os,1.2.0.r37x201109270310,"org.eclipse.wb.os",1477988508945
started,bundle,org.eclipse.wb.os.win32,1.2.0.r37x201109270310,"org.eclipse.wb.os.win32",1477988508956
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1477988512780
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1477988627949
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1477988628039
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1477988628185
started,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1477988628242
